Symbol,Volume,Status
SGEA.L,601,Fail
SFTG.L,0,Fail
MSDG.L,0,Fail
3EMS.L,1828,Fail
LPLA.L,4274,Fail
QUEU.DE,1,Fail
7USH.DE,12678,Fail
FTAG,100,Fail
CRPX.L,0,Fail
BGRO,446,Fail
CALF,763965,Pass
ZVC.TO,200,Fail
XT0D.L,0,Fail
MIVO.L,0,Fail
AIFD,2088,Fail
SBTC.SW,15954,Fail
IKSD.L,0,Fail
SPTS,1362900,Pass
ECO.MI,0,Fail
GGRA.L,223,Fail
237350.KS,642,Fail
RQP.TO,23600,Fail
PXUS,0,Fail
WFHY,0,Fail
SSFI,168,Fail
IBDP,285594,Pass
SXRP.DE,349,Fail
SQQQ,133666200,Pass
V3GD.L,0,Fail
VERX.AS,1810,Fail
SPYF.DE,1061,Fail
EMDV,0,Fail
IXJ,105700,Fail
THNR,742,Fail
XFN.TO,104900,Fail
PINC.TO,7500,Fail
XZEU.L,1,Fail
AIBD,541,Fail
HMF.TO,0,Fail
FLOA.L,58161,Fail
AW1Q.DE,1428,Fail
IBHD,65499,Fail
JPM2.L,1,Fail
OVLU,0,Fail
LCJP.L,27,Fail
BOTT,108,Fail
CNYB.AS,60028,Fail
XVOL,1478,Fail
DRFE.TO,2401,Fail
3TSE.L,6,Fail
WOMN,2675,Fail
KDIV,0,Fail
ZLD.TO,200,Fail
BLCN,10871,Fail
HFIN.TO,9005,Fail
FST.TO,188,Fail
WEMG.AX,2429,Fail
XGBE.DE,2921,Fail
EMGF,22834,Fail
GOLY,2856,Fail
USFR.L,519,Fail
DXSQ.DE,0,Fail
EUNA.DE,232060,Pass
IDVY.SW,360,Fail
CANQ,314,Fail
RSH3.L,0,Fail
IS3J.DE,35,Fail
XEI.TO,64338,Fail
NVMZ,0,Fail
IAPD.L,86,Fail
COVR.DE,54,Fail
US7.SW,859,Fail
SP5A.MI,158855,Fail
CITS.L,0,Fail
PST,3500,Fail
RGI,0,Fail
513300.SS,470971164,Pass
ZUH.TO,6100,Fail
UIQN.DE,18,Fail
XMED.L,0,Fail
ERTH.PA,7091,Fail
MEUD.L,4340,Fail
ENCG.L,3300,Fail
RSSL,491,Fail
JRDM.L,1,Fail
ESE.PA,157945,Fail
XDV.TO,50800,Fail
DX2X.DE,23510,Fail
AUCO.L,10,Fail
SXRQ.DE,2501,Fail
FETH,214738,Pass
TFPN,770,Fail
CBUG.L,6217,Fail
EUDV.L,302,Fail
WCOB.L,2,Fail
ALTL,52120,Fail
C50.PA,26477,Fail
FUSI,894,Fail
FLCG,2239,Fail
3GIL.L,5,Fail
MFEX.L,0,Fail
IJH,4490700,Pass
RVRB,0,Fail
EBIZ.L,1,Fail
EFAA,0,Fail
MEDI,307,Fail
AADA.SW,170,Fail
HIDD.L,1,Fail
FRCK.DE,128,Fail
GENM,0,Fail
IE00B3YCGJ38.SG,0,Fail
KSET,0,Fail
AGMI,194,Fail
UD02.L,0,Fail
CU71.L,77,Fail
SCDS,20,Fail
DGLDF,0,Fail
PFM,345500,Pass
QDVD.DE,5644,Fail
SCHP,1274500,Pass
GFOF,138,Fail
KLNE,0,Fail
BXX.PA,198631,Fail
CP9U.L,8,Fail
EL43.DE,65,Fail
227560.KS,37,Fail
RODE,414,Fail
CBH.TO,8000,Fail
IDBT.L,111,Fail
TNO.MI,133,Fail
SPYI,379781,Pass
ESPO,7989,Fail
QUS.AX,3732,Fail
EFG,285400,Pass
IBGZ.L,4,Fail
TIPG.L,30,Fail
FDVL,382,Fail
BUFF,15370,Fail
DBXG.DE,318,Fail
CACM.PA,0,Fail
CSX5.L,2,Fail
JPMB,4603,Fail
TPIF,18856,Fail
OCTW,41444,Fail
MTUM,523490,Pass
IVE,279100,Pass
VAGS.L,481,Fail
CWI,100300,Fail
EMSH,0,Fail
LRGG,7090,Fail
DHSF.MI,0,Fail
SDOG,34406,Fail
UC82.L,2,Fail
FJNK,0,Fail
HPRD.L,1,Fail
AYE2.DE,76007,Fail
IQQY.DE,32672,Fail
ZPL.TO,12824,Fail
IEBB.SW,0,Fail
FLXI.L,702,Fail
LALU.L,600,Fail
NANC,41886,Fail
CNKY.L,1,Fail
EXX1.DE,300742,Pass
SMOG,1700,Fail
RMAP.L,1,Fail
EL42.DE,5255,Fail
SAEM.L,97822,Fail
TAXX,2276,Fail
FESM,23244,Fail
SJCP,1104,Fail
UBE.AX,0,Fail
EQIN,10241,Fail
VSDA,8195,Fail
GLOW.L,0,Fail
FEP,6200,Fail
TDVG,26362,Fail
QLVD,484,Fail
PQDI,352,Fail
ARB,9027,Fail
SARG.L,0,Fail
83168.HK,0,Fail
VCSH,9104400,Pass
LEDD,0,Fail
COIB.AS,23,Fail
GOAT,0,Fail
9400.SR,2479,Fail
DX22.DE,15981,Fail
LUK2.L,190,Fail
PID,52900,Fail
CNYA.L,4291,Fail
HYBL,101939,Fail
DVND,0,Fail
VOX,72800,Fail
USML,29,Fail
VWID,451,Fail
332500.KS,55,Fail
APRW,10760,Fail
DRAI,506,Fail
VEUA.L,4,Fail
IOO.AX,9266,Fail
MOEU.DE,15,Fail
ELF0.DE,1194,Fail
NCPSESDL24.NS,0,Fail
LYXD.DE,1197,Fail
CATF,0,Fail
10AM.DE,85,Fail
FDEM,93440,Fail
I500.L,4,Fail
ZEQ.TO,16210,Fail
SNOV,3966,Fail
LGLBF,0,Fail
HCAD.L,0,Fail
LQDH.L,331,Fail
JULH,638,Fail
ERGF,0,Fail
ISCG,19100,Fail
IE3E.F,0,Fail
VHYL.AS,5823,Fail
PASS,0,Fail
HEMB.TO,0,Fail
83128.HK,0,Fail
USIH.PA,1201,Fail
USMV.L,8,Fail
FFEB,1268932,Pass
GRW,22208,Fail
LQDI,1480,Fail
SXTPEX.DE,0,Fail
QDVA.DE,76269,Fail
FID,10027,Fail
TSL2.L,76,Fail
NULG,37576,Fail
RTA.PA,0,Fail
IBHJ,8659,Fail
UIMF.DE,1498,Fail
SUUS.L,260,Fail
BITX,5329698,Pass
PAPI,38533,Fail
ISCF,22113,Fail
XTAP,0,Fail
KCSH,0,Fail
2B7S.DE,49829,Fail
SIXF,3334,Fail
ENGB.L,0,Fail
TPYP,19877,Fail
UGE,4400,Fail
PHAU.AS,1227,Fail
SPYX.DE,954,Fail
HEDP.SW,0,Fail
ZLC.TO,15800,Fail
CSSX5E.MI,2034,Fail
PUD.TO,0,Fail
UDA.TO,0,Fail
REMX.MI,29382,Fail
IAEX.L,3,Fail
IBIE,3182,Fail
WGMI,528622,Pass
CSY5.F,0,Fail
GJUN,47429,Fail
ZJPN.TO,841,Fail
DGT,6500,Fail
SMDY,0,Fail
PUSH,570,Fail
HELO,562803,Pass
X03H.SW,1166,Fail
XDPD.F,0,Fail
