Symbol,Latest_Date,Status
SHLM,0,No Data
SPAN,0,No Data
NMRX,0,No Data
NVDA,2024-10-10,Success
GOOGL,2024-10-10,Success
AAPL,2024-10-10,Success
MSFT,2024-10-10,Success
VSMPX,0,No Data
GOOG,2024-10-10,Success
AMZN,2024-10-10,Success
META,2024-10-10,Success
VOO,2024-10-10,Success
VFIAX,0,No Data
VITSX,0,No Data
BRK-A,2024-10-10,Success
AVGO,2024-10-10,Success
BRK-B,2024-10-10,Success
VTSAX,0,No Data
TSM,2024-10-10,Success
TSLA,2024-10-10,Success
LLY,2024-10-10,Success
JPM,2024-10-10,Success
FXAIX,0,No Data
VTI,2024-10-10,Success
UNH,2024-10-10,Success
V,2024-10-10,Success
WMT,2024-10-10,Success
XOM,2024-10-10,Success
SPY,2024-10-10,Success
NVO,2024-10-10,Success
IVV,2024-10-10,Success
VXUS,2024-10-10,Success
ORCL,2024-10-10,Success
MA,2024-10-10,Success
VTPSX,0,No Data
VTIAX,0,No Data
COST,2024-10-10,Success
VBTLX,0,No Data
HD,2024-10-10,Success
JNJ,2024-10-10,Success
VBMPX,0,No Data
PG,2024-10-10,Success
VBMFX,0,No Data
ABBV,2024-10-10,Success
VMCPX,0,No Data
BND,2024-10-10,Success
NFLX,2024-10-10,Success
ASML,2024-10-10,Success
MC.PA,2024-10-10,Success
BAC,2024-10-10,Success
VINIX,0,No Data
CHTEX.BR,0,No Data
VTBNX,0,No Data
ASML.AS,2024-10-10,Success
VIMAX,0,No Data
VIIIX,0,No Data
CRM,2024-10-10,Success
RGAGX,0,No Data
GAFFX,0,No Data
KO,2024-10-10,Success
AGTHX,0,No Data
GFAFX,0,No Data
AMD,2024-10-10,Success
MRK,2024-10-10,Success
CGFAX,0,No Data
SAP,2024-10-10,Success
BABA,2024-10-10,Success
CVX,2024-10-10,Success
RGABX,0,No Data
TMUS,2024-10-10,Success
MRK.PA,0,No Data
FIYY,0,No Data
RGAAX,0,No Data
GFACX,0,No Data
RLBGX,0,No Data
CLBAX,0,No Data
AZN,2024-10-10,Success
AFMBX,0,No Data
AMBFX,0,No Data
BALFX,0,No Data
ABALX,0,No Data
TM,2024-10-10,Success
RY.TO,2024-10-10,Success
PEP,2024-10-10,Success
TMO,2024-10-10,Success
NVS,2024-10-10,Success
ACN,2024-10-10,Success
CIS.BR,0,No Data
VERIZ.BR,0,No Data
ADBE,2024-10-10,Success
RMS.PA,2024-10-10,Success
LIN,2024-10-10,Success
VEMRX,0,No Data
FFEU,0,No Data
CSCO,2024-10-10,Success
