Symbol,Volume,Status
DHSF.MI,0,No Data
EMSH,0,No Data
HLPR.TO,3300,Fail
MEUD.L,0,Fail
SMAX.TO,18500,Fail
LPLA.L,0,Fail
TIPG.L,0,Fail
BGRO,446,Fail
KOLD,681056,Pass
ZUH.TO,800,Fail
EDMU.DE,188394,Fail
AWESGS.SW,9152,Fail
MIVO.L,0,No Data
SPFD.DE,48,Fail
XX2D.L,0,Fail
SBTC.SW,415518,Pass
WPS,0,No Data
WUGI,5084,Fail
XLPP.L,0,Fail
VWOB,209768,Pass
EBND,192841,Fail
DVEM,0,No Data
GRW,698,Fail
HIG.TO,9700,Fail
C50.PA,2170,Fail
DIV.NZ,13187,Fail
UC65.L,0,Fail
MVEW.L,0,Fail
EPAB.L,0,Fail
UBU5.DE,519,Fail
CSSX5E.MI,18845,Fail
AAPY,1762,Fail
HMF.TO,0,No Data
XZEU.L,0,Fail
GMM,223042,Pass
IJH.AX,721,Fail
AZTD,0,No Data
EM1C.DE,1470,Fail
BOTT,106,Fail
IHYU.MI,3275,Fail
ISCG,7550,Fail
SELV,4040,Fail
VGAD.AX,2072,Fail
EUN6.DE,4095,Fail
KDIV,0,No Data
USE3.MI,7566,Fail
QUEU.DE,415,Fail
GMET,368,Fail
ZLD.TO,0,Fail
PAPI,3714,Fail
IE00B5KQNG97.SG,0,No Data
XGBE.DE,3020,Fail
FST.TO,0,Fail
DXSQ.DE,0,No Data
IGV,5144251,Pass
DFCF,359779,Pass
JULH,4816,Fail
COIB.AS,26,Fail
USFR.L,0,Fail
BINC,493330,Pass
GGUS,0,No Data
LYXD.DE,626,Fail
PST,10731,Fail
SP5A.MI,89098,Fail
XT0D.L,0,Fail
YETH,4552,Fail
IBHJ,16603,Fail
DRAI,5106,Fail
RSSL,13364,Fail
ESE.PA,145179,Fail
SXRQ.DE,3675,Fail
FETH,571691,Pass
HEJD,1,Fail
IEMB.MI,17680,Fail
UIQ1.DE,1,Fail
IHF,48884,Fail
FJPR.L,0,Fail
FLCG,0,No Data
GOLY,3114,Fail
XGB.TO,48100,Fail
THNR,2445,Fail
EZJ,3699,Fail
EL43.DE,24021,Fail
FXN,948759,Pass
QQQJ,49798,Fail
SPXS,25349952,Pass
DRMU.TO,507,Fail
CBUS.SW,3986,Fail
ITDF,757,Fail
LITU.L,0,Fail
AGOX,20145,Fail
COVR.DE,100,Fail
AADA.SW,0,No Data
GENM,0,No Data
2807.HK,38750,Fail
KSET,0,No Data
PE500.PA,17982,Fail
KSA,186509,Fail
SGEA.L,0,Fail
US10.PA,2905,Fail
KLNE,0,No Data
SHLD.L,0,Fail
IBID,1276,Fail
XDV.TO,25400,Fail
AGMI,194,Fail
DGLDF,0,No Data
JETD,1482,Fail
IYW,611643,Pass
NANC,53235,Fail
IAEX.L,0,Fail
IBGZ.L,0,Fail
F701.DE,42,Fail
DBXG.DE,132,Fail
CBH.TO,5000,Fail
MISL,26620,Fail
CSX5.L,0,Fail
SHAG,419,Fail
CACX.L,0,Fail
IGLB,230293,Pass
OCTW,45978,Fail
NVDL,16937128,Pass
FJNK,0,No Data
JPMB,21716,Fail
JMST,233203,Pass
ROE,2313,Fail
AYE2.DE,84558,Fail
LRGG,1659,Fail
FMET,5736,Fail
IEBB.SW,0,Fail
LALU.L,0,Fail
SXRP.DE,851,Fail
EL42.DE,10652,Fail
NUAG,2129,Fail
UBE.AX,0,No Data
SAEM.L,0,Fail
SJCP,1104,Fail
EFG,243735,Pass
XU6C.DE,44,Fail
NLR,72024,Fail
EQIN,35729,Fail
GLOW.L,0,No Data
DJCB,0,No Data
FAPR,5199,Fail
QTJL,1020,Fail
OBOR,0,No Data
LEDD,0,No Data
SCHE,969196,Pass
83168.HK,1800,Fail
ETBB.PA,59,Fail
PLTY,10379,Fail
SC0Y.DE,4201,Fail
CBUP.DE,25,Fail
PUSH,0,No Data
AIYY,130352,Fail
GOVG.L,0,No Data
FLOA.L,0,Fail
QDVD.DE,4907,Fail
IPRV.L,0,Fail
HYBL,43902,Fail
DX22.DE,8359,Fail
VWID,0,No Data
FNDE,371017,Pass
XAMB.DE,7216,Fail
APRW,14994,Fail
AIA,46285,Fail
513300.SS,154624100,Pass
IEMU.L,0,Fail
CEUR.L,0,Fail
EMCP.L,0,Fail
DBZB.DE,605,Fail
3SLL.L,0,No Data
IBIF,7162,Fail
SULR,0,No Data
EL44.DE,2020,Fail
LLDR,0,No Data
NCPSESDL24.NS,0,No Data
ELF0.DE,9,Fail
CAFR.TO,28000,Fail
ZEF.TO,900,Fail
LGLBF,0,No Data
NULG,26429,Fail
83118.HK,16400,Fail
I500.L,0,Fail
KWEB,42221136,Pass
JPIE,188672,Fail
UIQN.DE,8,Fail
EUDV.L,0,Fail
HCAD.L,0,Fail
HEMB.TO,0,No Data
TPLE,951,Fail
IE3E.F,0,No Data
USMV.L,0,No Data
USML,0,No Data
PASS,0,No Data
LNGG,779,Fail
GSY,348774,Pass
BUYZ,331,Fail
SXTPEX.DE,0,No Data
CNYA.L,0,Fail
LQDI,1833,Fail
RTA.PA,0,No Data
EDGE.TO,4300,Fail
TSL2.L,0,Fail
ERTH.PA,32705,Fail
IWLG,0,No Data
3LSA.PA,97,Fail
JPAS.L,0,Fail
TFPN,2725,Fail
HIDD.L,0,Fail
IBTL,8546,Fail
IWN,1054222,Pass
HFIN.TO,2500,Fail
ISCF,9039,Fail
2B7S.DE,131867,Fail
BXX.PA,692483,Pass
ENGB.L,0,No Data
IUKD.L,0,Fail
MGNR,8857,Fail
PHAU.AS,2985,Fail
DISS.L,0,No Data
UGE,5545,Fail
EDOC.L,0,Fail
HEDP.SW,0,No Data
PUD.TO,0,No Data
MOTG,1172,Fail
REMX.MI,8382,Fail
2GS.L,0,Fail
CSY5.F,0,No Data
UDA.TO,0,Fail
ZLC.TO,19500,Fail
KAPR,8824,Fail
3TSE.L,0,Fail
DJD,18297,Fail
ZJPN.TO,500,Fail
XDPD.F,0,No Data
IGAE.AS,3476,Fail
PINC.TO,300,Fail
DFAI,521502,Pass
GMUB,0,No Data
DGRO,624601,Pass
XGII.DE,390,Fail
EMDV,0,No Data
DWPP,0,No Data
H4ZB.DE,0,No Data
HDMV,1773,Fail
IBIE,5289,Fail
DX2X.DE,3408,Fail
VGK,642945,Pass
PRUC.L,0,Fail
WCLD,83338,Fail
UTINEXT50.BO,4374,Fail
UKSR.L,0,Fail
FRCK.DE,424,Fail
ZPDH.DE,3626,Fail
IGLS.L,0,Fail
NVDQ,25095446,Pass
U10H.MI,6494,Fail
SHU.TO,0,No Data
EHYB.L,0,Fail
FHG.TO,600,Fail
TTTX.TO,0,Fail
LRGF,38977,Fail
UC82.L,0,Fail
LYPQ.DE,0,No Data
USIG.L,0,Fail
VMID.L,0,Fail
SMIN,57046,Fail
ZSPY,0,No Data
TRS5.L,0,Fail
CWI,89538,Fail
RQFI.L,0,Fail
FTLS,112975,Fail
FSLD,0,No Data
US10.L,0,Fail
BSMS,39716,Fail
LQQ3.L,0,Fail
IZRL,10238,Fail
ASIA,3807,Fail
UC14.L,0,Fail
SWLD.L,0,Fail
GINC.L,0,Fail
CSBGC0.SW,2955,Fail
MCEF,0,No Data
NIKL,4479,Fail
SEGA.L,0,Fail
