Symbol,Status,Records Downloaded
AAPL,Error: 401 Client Error: Unauthorized for url: https://financialmodelingprep.com/api/v3/historical-price-full/AAPL?from=1994-10-09&to=2024-10-18&apikey=QzH64iz7GnfeVgUoYBYKYDq0d1TUxtij,0
NVDA,Error: 401 Client Error: Unauthorized for url: https://financialmodelingprep.com/api/v3/historical-price-full/NVDA?from=1994-10-09&to=2024-10-18&apikey=QzH64iz7GnfeVgUoYBYKYDq0d1TUxtij,0
MSFT,Error: 401 Client Error: Unauthorized for url: https://financialmodelingprep.com/api/v3/historical-price-full/MSFT?from=1994-10-09&to=2024-10-18&apikey=QzH64iz7GnfeVgUoYBYKYDq0d1TUxtij,0
GOOGL,Error: 401 Client Error: Unauthorized for url: https://financialmodelingprep.com/api/v3/historical-price-full/GOOGL?from=1994-10-09&to=2024-10-18&apikey=QzH64iz7GnfeVgUoYBYKYDq0d1TUxtij,0
GOOG,Error: 401 Client Error: Unauthorized for url: https://financialmodelingprep.com/api/v3/historical-price-full/GOOG?from=1994-10-09&to=2024-10-18&apikey=QzH64iz7GnfeVgUoYBYKYDq0d1TUxtij,0
AMZN,Error: 401 Client Error: Unauthorized for url: https://financialmodelingprep.com/api/v3/historical-price-full/AMZN?from=1994-10-09&to=2024-10-18&apikey=QzH64iz7GnfeVgUoYBYKYDq0d1TUxtij,0
META,Error: 401 Client Error: Unauthorized for url: https://financialmodelingprep.com/api/v3/historical-price-full/META?from=1994-10-09&to=2024-10-18&apikey=QzH64iz7GnfeVgUoYBYKYDq0d1TUxtij,0
VOO,Error: 401 Client Error: Unauthorized for url: https://financialmodelingprep.com/api/v3/historical-price-full/VOO?from=1994-10-09&to=2024-10-18&apikey=QzH64iz7GnfeVgUoYBYKYDq0d1TUxtij,0
BRK-B,Error: 401 Client Error: Unauthorized for url: https://financialmodelingprep.com/api/v3/historical-price-full/BRK-B?from=1994-10-09&to=2024-10-18&apikey=QzH64iz7GnfeVgUoYBYKYDq0d1TUxtij,0
BRK-A,Error: 401 Client Error: Unauthorized for url: https://financialmodelingprep.com/api/v3/historical-price-full/BRK-A?from=1994-10-09&to=2024-10-18&apikey=QzH64iz7GnfeVgUoYBYKYDq0d1TUxtij,0
LLY,Error: 401 Client Error: Unauthorized for url: https://financialmodelingprep.com/api/v3/historical-price-full/LLY?from=1994-10-09&to=2024-10-18&apikey=QzH64iz7GnfeVgUoYBYKYDq0d1TUxtij,0
AVGO,Error: 401 Client Error: Unauthorized for url: https://financialmodelingprep.com/api/v3/historical-price-full/AVGO?from=1994-10-09&to=2024-10-18&apikey=QzH64iz7GnfeVgUoYBYKYDq0d1TUxtij,0
TSM,Error: 401 Client Error: Unauthorized for url: https://financialmodelingprep.com/api/v3/historical-price-full/TSM?from=1994-10-09&to=2024-10-18&apikey=QzH64iz7GnfeVgUoYBYKYDq0d1TUxtij,0
TSLA,Error: 401 Client Error: Unauthorized for url: https://financialmodelingprep.com/api/v3/historical-price-full/TSLA?from=1994-10-09&to=2024-10-18&apikey=QzH64iz7GnfeVgUoYBYKYDq0d1TUxtij,0
WMT,Error: 401 Client Error: Unauthorized for url: https://financialmodelingprep.com/api/v3/historical-price-full/WMT?from=1994-10-09&to=2024-10-18&apikey=QzH64iz7GnfeVgUoYBYKYDq0d1TUxtij,0
JPM,Error: 401 Client Error: Unauthorized for url: https://financialmodelingprep.com/api/v3/historical-price-full/JPM?from=1994-10-09&to=2024-10-18&apikey=QzH64iz7GnfeVgUoYBYKYDq0d1TUxtij,0
VTI,Error: 401 Client Error: Unauthorized for url: https://financialmodelingprep.com/api/v3/historical-price-full/VTI?from=1994-10-09&to=2024-10-18&apikey=QzH64iz7GnfeVgUoYBYKYDq0d1TUxtij,0
UNH,Error: 401 Client Error: Unauthorized for url: https://financialmodelingprep.com/api/v3/historical-price-full/UNH?from=1994-10-09&to=2024-10-18&apikey=QzH64iz7GnfeVgUoYBYKYDq0d1TUxtij,0
V,Error: 401 Client Error: Unauthorized for url: https://financialmodelingprep.com/api/v3/historical-price-full/V?from=1994-10-09&to=2024-10-18&apikey=QzH64iz7GnfeVgUoYBYKYDq0d1TUxtij,0
XOM,Error: 401 Client Error: Unauthorized for url: https://financialmodelingprep.com/api/v3/historical-price-full/XOM?from=1994-10-09&to=2024-10-18&apikey=QzH64iz7GnfeVgUoYBYKYDq0d1TUxtij,0
