Symbol,Latest_Date,Status
SPAN,0,No Data
META,2024-10-14,Success
NMRX,0,No Data
GOOG,2024-10-14,Success
GOOGL,2024-10-14,Success
VOO,2024-10-14,Success
VSMPX,0,No Data
VFIAX,0,No Data
BRK-B,2024-10-14,Success
BRK-A,2024-10-14,Success
VITSX,0,No Data
SHLM,0,No Data
AVGO,2024-10-14,Success
AMZN,2024-10-14,Success
VTSAX,0,No Data
TSLA,2024-10-14,Success
AAPL,2024-10-14,Success
NVDA,2024-10-14,Success
TSM,2024-10-14,Success
FXAIX,0,No Data
LLY,2024-10-14,Success
VTI,2024-10-14,Success
JPM,2024-10-14,Success
V,2024-10-14,Success
WMT,2024-10-14,Success
SPY,2024-10-14,Success
NVO,2024-10-14,Success
ORCL,2024-10-14,Success
UNH,2024-10-14,Success
IVV,2024-10-14,Success
VXUS,2024-10-14,Success
MA,2024-10-14,Success
VTIAX,0,No Data
VTPSX,0,No Data
XOM,2024-10-14,Success
MSFT,2024-10-14,Success
COST,2024-10-14,Success
ABBV,2024-10-14,Success
BND,2024-10-14,Success
VBTLX,0,No Data
VBMPX,0,No Data
ASML,2024-10-14,Success
PG,2024-10-14,Success
HD,2024-10-14,Success
VMCPX,0,No Data
VINIX,0,No Data
VIIIX,0,No Data
JNJ,2024-10-14,Success
VTBNX,0,No Data
BAC,2024-10-14,Success
NFLX,2024-10-14,Success
ASML.AS,2024-10-14,Success
VIMAX,0,No Data
MC.PA,2024-10-14,Success
VBMFX,0,No Data
GAFFX,0,No Data
CRM,2024-10-14,Success
RGAGX,0,No Data
GFAFX,0,No Data
AMD,2024-10-14,Success
BABA,2024-10-14,Success
CGFAX,0,No Data
AGTHX,0,No Data
RGABX,0,No Data
TMUS,2024-10-14,Success
SAP,2024-10-14,Success
KO,2024-10-14,Success
FIYY,0,No Data
RGAAX,0,No Data
MRK.PA,0,No Data
MRK,2024-10-14,Success
GFACX,0,No Data
CVX,2024-10-14,Success
CLBAX,0,No Data
AZN,2024-10-14,Success
AFMBX,0,No Data
RY.TO,2024-10-11,Success
AMBFX,0,No Data
BALFX,0,No Data
RLBGX,0,No Data
PEP,2024-10-14,Success
ABALX,0,No Data
ACN,2024-10-14,Success
TM,2024-10-14,Success
TMO,2024-10-14,Success
ADBE,2024-10-14,Success
NVS,2024-10-14,Success
LIN,2024-10-14,Success
VEMRX,0,No Data
FFEU,0,No Data
CSCO,2024-10-14,Success
RMS.PA,2024-10-14,Success
MCD,2024-10-14,Success
VEMPX,0,No Data
SHEL,2024-10-14,Success
VB,2024-10-14,Success
OR.PA,2024-10-14,Success
VEA,2024-10-14,Success
MER-PK,2024-10-14,Success
VTMGX,0,No Data
VTMNX,0,No Data
IBM,2024-10-14,Success
WFC,2024-10-14,Success
GE,2024-10-14,Success
NOW,2024-10-14,Success
ABT,2024-10-14,Success
QQQ,2024-10-14,Success
AXP,2024-10-14,Success
QCOM,2024-10-14,Success
SHELL.AS,2024-10-14,Success
DHR,2024-10-14,Success
PDD,2024-10-14,Success
PM,2024-10-14,Success
VTV,2024-10-14,Success
MS,2024-10-14,Success
UBER,2024-10-14,Success
VZ,2024-10-14,Success
AMGN,2024-10-14,Success
ISRG,2024-10-14,Success
AMAT,2024-10-14,Success
INTU,2024-10-14,Success
RY,2024-10-14,Success
VO,2024-10-14,Success
TXN,2024-10-14,Success
CAT,2024-10-14,Success
ARM,2024-10-14,Success
VZA,0,No Data
PONPX,0,No Data
PIMIX,0,No Data
VIGAX,0,No Data
DIS,2024-10-14,Success
NEE,2024-10-14,Success
VIGIX,0,No Data
SPGI,2024-10-14,Success
GS,2024-10-14,Success
RTX,2024-10-14,Success
CMCSA,2024-10-14,Success
PFE,2024-10-14,Success
TTE,2024-10-14,Success
HDB,2024-10-14,Success
LOW,2024-10-14,Success
HSBC,2024-10-14,Success
UL,2024-10-14,Success
CICAX,0,No Data
AIVSX,0,No Data
AICCX,0,No Data
RICBX,0,No Data
AICFX,0,No Data
FFICX,0,No Data
TBB,2024-10-14,Success
RICAX,0,No Data
TBC,2024-10-14,Success
T,2024-10-14,Success
BHP,2024-10-14,Success
UNP,2024-10-14,Success
FCNTX,0,No Data
VGSLX,0,No Data
SHOP.TO,2024-10-11,Success
PGR,2024-10-14,Success
RWMFX,0,No Data
AWSHX,0,No Data
BLK,2024-10-14,Success
FNPFX,0,No Data
CWMAX,0,No Data
NPFFX,0,No Data
ANWPX,0,No Data
RNPGX,0,No Data
WSHFX,0,No Data
WSHCX,0,No Data
LMT,2024-10-14,Success
TTE.PA,2024-10-14,Success
BKNG,2024-10-14,Success
RWMBX,0,No Data
FUNFX,0,No Data
UNA.AS,2024-10-14,Success
RFNCX,0,No Data
CFNAX,0,No Data
RERHX,0,No Data
AFIFX,0,No Data
AEPFX,0,No Data
ANCFX,0,No Data
AEGFX,0,No Data
HON,2024-10-14,Success
RERGX,0,No Data
AEPGX,0,No Data
SNY,2024-10-14,Success
TD-PFI.TO,2024-10-11,Success
CIS.BR,0,No Data
ETN,2024-10-14,Success
TD.TO,2024-10-11,Success
SYK,2024-10-14,Success
